Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F2: 130N, Sample, A, (-)BiotinPD","Abundance: F2: 129C, Sample, A, (-)Hpg","Abundance: F2: 126, Sample, A, 0_0Hr","Abundance: F2: 127N, Sample, A, 0_5Hr","Abundance: F2: 127C, Sample, A, 1_0Hr","Abundance: F2: 128N, Sample, A, 1_5Hr","Abundance: F2: 128C, Sample, A, 2_0Hr","Abundance: F2: 129N, Sample, A, 3_0Hr","Abundance: F2: 134N, Sample, B, (-)BiotinPD","Abundance: F2: 133C, Sample, B, (-)Hpg","Abundance: F2: 130C, Sample, B, 0_0Hr","Abundance: F2: 131N, Sample, B, 0_5Hr","Abundance: F2: 131C, Sample, B, 1_0Hr","Abundance: F2: 132N, Sample, B, 1_5Hr","Abundance: F2: 132C, Sample, B, 2_0Hr","Abundance: F2: 133N, Sample, B, 3_0Hr","Abundance: F1: 126, Sample, C, (-)BiotinPD","Abundance: F1: 130N, Sample, C, (-)Hpg","Abundance: F1: 129C, Sample, C, 0_0Hr","Abundance: F1: 129N, Sample, C, 0_5Hr","Abundance: F1: 128C, Sample, C, 1_0Hr","Abundance: F1: 128N, Sample, C, 1_5Hr","Abundance: F1: 127C, Sample, C, 2_0Hr","Abundance: F1: 127N, Sample, C, 3_0Hr","Abundance: F1: 130C, Sample, D, (-)BiotinPD","Abundance: F1: 134N, Sample, D, (-)Hpg","Abundance: F1: 133C, Sample, D, 0_0Hr","Abundance: F1: 133N, Sample, D, 0_5Hr","Abundance: F1: 132C, Sample, D, 1_0Hr","Abundance: F1: 132N, Sample, D, 1_5Hr","Abundance: F1: 131C, Sample, D, 2_0Hr","Abundance: F1: 131N, Sample, D, 3_0Hr","Abundance: F8: 126, Sample, E, (-)BiotinPD","Abundance: F8: 133C, Sample, E, (-)Hpg","Abundance: F8: 127C, Sample, E, 0_0Hr","Abundance: F8: 128C, Sample, E, 0_5Hr","Abundance: F8: 129C, Sample, E, 1_0Hr","Abundance: F8: 130C, Sample, E, 1_5Hr","Abundance: F8: 131C, Sample, E, 2_0Hr","Abundance: F8: 132C, Sample, E, 3_0Hr","Abundance: F8: 127N, Sample, F, (-)BiotinPD","Abundance: F8: 134N, Sample, F, (-)Hpg","Abundance: F8: 128N, Sample, F, 0_0Hr","Abundance: F8: 129N, Sample, F, 0_5Hr","Abundance: F8: 130N, Sample, F, 1_0Hr","Abundance: F8: 131N, Sample, F, 1_5Hr","Abundance: F8: 132N, Sample, F, 2_0Hr","Abundance: F8: 133N, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
P09495,Tropomyosin alpha-4 chain OS,TPM4,15.255,28,7,11,3,49.9,1.9,3.7,3.7,3.1,2.7,,3.1,143.8,,,,2.6,2.2,,,,,,,,,,,,,,,,,,,159,236.6,8.4,4.4,4.3,9.4,6.2,,316,3,,,12.5,2.7,6.1,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,64%,,71%,86%,43%,,,86%,57%,88%,38%,,,88%,63%
Q9JLJ3,4-trimethylaminobutyraldehyde dehydrogenase OS,ALDH9A1,15.195,14,6,6,6,295.8,27.5,67,29.8,87.7,22,12,14.9,545.2,14.4,152,7.9,16.1,15.2,24.6,4.7,,,,,,,,,,,,,,,,,86.7,58.2,59.8,10.1,10.4,26.1,16.9,16.3,144.9,11.5,7.6,8.3,20,8.2,8.8,8.7,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
F7FLF2,Protein LOC100360057 (Fragment) OS,LOC100363800,15.05,31,3,7,3,413.3,180.7,58.8,111,56.4,112.5,25.4,114.6,949,71.9,22.9,56.6,35,60.1,76,21.8,,,,,,,,,,,,,,,,,817.7,714.3,262.2,249.2,146.3,218.7,140.6,108.1,2285.4,142.7,108.2,137.7,175.7,105.5,160,132,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
Q3KRC3,Protein Srpr OS,SRPR,15.024,10,4,4,4,344.7,29.6,24.3,34.8,28.6,26,17.2,19.7,713.4,15.8,21.7,4.6,17.2,22,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,93%,,,100%,86%,,,,,100%,88%,,,,
P08753,Guanine nucleotide-binding protein G(k) subunit alpha OS,GNAI3,14.971,12,3,4,2,47.8,12.6,5.1,8.3,8.7,7.9,4.2,13.5,104.5,5.9,6.7,4.9,5.9,7.9,6.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,,,100%,100%,,,,,100%,100%,,,,
Q3B7U9,Peptidyl-prolyl cis-trans isomerase FKBP8 OS,FKBP8,14.951,11,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
M0RC65,"Cofilin 2, muscle (Predicted), isoform CRA_b OS",CFL2,14.949,23,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
Q5D059,Hnrpk protein OS,HNRNPK,14.937,9,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,496.7,363.2,115.2,56.2,125.1,50.1,32.2,1051.4,27.8,17.3,33.5,89.1,37.8,49.3,32.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
F1LNY3,Neural cell adhesion molecule 1 (Fragment) OS,NCAM1,14.798,8,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,21.8,30.6,15.5,6.2,14.8,12.2,10.4,236.1,9.2,,8.4,15.8,7.4,11.4,9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,93%,,,,,100%,86%,,,,,100%,88%
P50475,"Alanine--tRNA ligase, cytoplasmic OS",AARS,14.769,8,5,7,5,,,,,,,,,,,,,,,,,473,16,14.5,13.9,23.5,14.8,,78.8,395.1,10.6,12.5,24.9,24.6,19.8,3.5,13,105.1,19.2,21.3,18.8,8.6,12,9.2,3.7,384.5,4.6,,9.1,20.9,6.1,5.6,6,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,93%,93%,,,86%,100%,100%,86%,,,88%,100%,100%,88%
Q4QQW8,Putative phospholipase B-like 2 OS,PLBD2,14.763,4,2,4,2,175.2,59.2,32.1,42.5,24.2,15.1,11.1,31.8,470.9,31.2,15.4,11.1,27.9,20.4,25.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,,,100%,100%,,,,,100%,100%,,,,
D3Z9F8,Collagen alpha-1(XII) chain OS,COL12A1,14.404,4,7,7,4,236.7,14,16.6,20.2,23.3,11.7,7.8,19.9,443.1,12.1,14.2,1.3,13.5,12.3,9.9,3.7,,,,,,,,,,,,,,,,,220.2,73.4,69.2,60.3,37.3,39.3,47,41.9,570,26.6,26.3,28.1,63.2,39,37.3,32.9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
D3ZM39,Protein Dsg1 OS,DSG1,14.404,4,5,8,5,62,354.9,161.3,226.2,116.3,255.3,62.8,171,182.9,167.2,84.4,105.1,115.5,146.7,134.9,93.1,47.1,36.9,38.8,25.9,55.8,28.8,26.7,65.8,31.8,18.9,24.7,51.5,46.9,28.2,23.1,25.7,78.1,386.3,1904.7,146,124,348.1,177.6,62.2,289.2,104.7,168.7,78.2,278.6,53.2,83.6,96.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1LPV8,Protein Suclg2 OS,SUCLG2,14.404,11,4,6,4,292.4,3.5,6.9,4,9.1,10.1,7.9,5.1,510.1,1.1,4.6,,2.5,3.1,4.4,,211.3,4.4,7.9,9.2,11.1,12.6,,24.6,161.4,2.3,5.3,15.7,16.7,12.5,0.4,6.9,403.6,9.8,5.3,17.9,7.5,20.4,10.7,10.8,494.7,8.3,,6.1,18.1,6.6,10.1,6.7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,86%,93%,93%,100%,71%,86%,100%,100%,86%,100%,75%,88%,100%,100%,88%
P85515,Alpha-centractin OS,ACTR1A,14.388,13,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,135.1,85.7,52.3,28.5,52.4,34,39.5,707,30.5,7.9,31.6,56.3,24.9,43.8,32.7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
B2RZ72,"Actin related protein 2/3 complex, subunit 4 (Predicted), isoform CRA_a OS",ARPC4,14.326,27,5,10,5,603.1,95,35.5,68.1,38.6,68.5,22.4,50.3,1332,33.2,38.6,4.9,20.5,22.9,41.9,9.8,759,13.6,15.4,25.5,26.3,28.1,13.9,104.4,635.7,8.9,9.4,33.6,27,19.8,7.2,17.9,640.9,493.2,166.6,58.8,25.2,53.4,33.5,30.9,1261.3,17.4,67.2,28.5,50.4,19.8,29.6,17.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q4KM74,Vesicle-trafficking protein SEC22b OS,SEC22B,14.326,17,3,5,3,55.4,7.6,2.7,3.5,4,,2.7,10.5,117.3,5.4,4.7,2.4,5.8,3.7,6.2,9.9,79.5,8.7,5.8,11.7,13.8,12.9,2.4,15.3,61.5,2.4,8.3,14.9,7.9,10.4,3.7,16.3,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,93%,100%,,86%,100%,100%,100%,,,88%,100%,100%,100%,,
Q5RKI5,Flightless I homolog (Drosophila) OS,FLII,14.31,5,4,5,4,60.2,,,3.2,2.9,2.5,,,175.8,,2.7,,,,3.1,,209.3,4.9,6.7,13.1,18.5,21.1,5,34.9,197.9,,9.1,17.5,14.4,17.3,17,8.4,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50%,100%,,57%,43%,100%,100%,,,50%,38%,100%,88%,,
D3ZQ74,"Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 OS",PLOD1,14.226,6,4,9,4,,,,,,,,,,,,,,,,,159.9,6.6,13.7,10.7,12.4,12.4,,11.4,133.3,4.4,11,17,16,8.3,8.1,9.1,216.9,70.9,88,85.6,44.5,76.6,51.8,42.1,558.3,27.6,40.8,33.8,61.4,31.9,41.6,36.7,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,93%,100%,,,86%,100%,100%,100%,,,88%,100%,100%,100%
Q5EAJ6-2,Isoform 2 of Inhibitor of nuclear factor kappa-B kinase-interacting protein OS,IKBIP,14.221,14,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,139.7,33.5,32.8,15.6,24.4,19.4,12.3,115.6,16,15.7,9,35.5,15.2,15,14.7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
P16638,ATP-citrate synthase OS,ACLY,14.213,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.6,185,149.2,142.3,74.4,118,97.8,68.9,1125.2,52.5,72.2,66.8,127.8,84.2,89.6,74.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
H7C5Y5,60S ribosomal protein L6 OS,RPL6,13.907,17,5,9,5,,,,,,,,,,,,,,,,,151.4,8.9,6.9,8.8,16.8,20.8,2.9,18.8,132.1,2.4,9.4,16,10.9,13.5,9.3,9.9,640.1,531,225.4,107.2,72.9,88.8,87.8,72.8,1983.9,62.1,27.3,57.6,114,60.8,72.2,50.6,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
Q1JU68,Eukaryotic translation initiation factor 3 subunit A OS,EIF3A,13.899,4,4,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.9,48,77,77.5,47.1,42.5,32.1,23.2,1432.9,25.9,387.4,19.6,43.5,30.8,57.5,27,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q9Z1K9,Disintegrin and metalloproteinase domain-containing protein 17 OS,ADAM17,13.873,4,3,4,3,,,,,,,,,,,,,,,,,250.5,15.8,12.5,10,12,8.7,,14,195.5,8.3,7.9,14.1,14.3,13.5,1.8,3.9,791.4,112.7,94.9,69.8,51.9,57.4,63.2,47.1,1377.3,41.5,21.8,42.6,84.8,47.8,51,38.3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,93%,100%,,,86%,100%,100%,100%,,,88%,100%,100%,100%
B0BNG3,Lman2 protein OS,LMAN2,13.864,20,6,8,6,592.7,21.9,24.5,22.8,32.1,21.4,12,17.9,1420.2,11.9,28.5,1.3,17.7,14.2,23.1,,,,,,,,,,,,,,,,,,195.5,100.8,118.4,44.3,27.6,39,25,35.3,776.5,20.3,27.5,36,40,25.4,25.2,17.3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,,100%,100%,86%,,,100%,100%,100%,88%,,,100%,100%
Q5XHY5,"Threonine--tRNA ligase, cytoplasmic OS",TARS,13.842,6,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.4,94.7,82.3,46.4,28.7,54.3,32.4,30.1,1046.5,25.8,16,24.7,46,32.4,36.8,24,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q3T1J1,Eukaryotic translation initiation factor 5A-1 OS,EIF5A,13.786,25,3,4,3,,,,,,,,,,,,,,,,,86.3,3.3,6,6.2,8.5,6,4.7,7.1,70.4,2.6,5.1,6,7.4,4.9,0.6,2.7,161.3,294,406.4,132.4,58.8,139.9,91.1,45.4,462.8,200.8,172.9,19.7,1383.8,8.3,54.4,52,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
B2RZD6,Ndufa4 protein OS,NDUFA4,13.772,35,3,6,3,628.2,10.3,22.6,18.2,32.8,14.1,11.8,15.6,1817.6,1.3,27.9,,16.1,11,13.6,0.1,,,,,,,,,,,,,,,,,1442.1,79.4,37.2,58.1,29,43.4,37.4,28.4,2377.2,11.1,28.5,28.4,42,27.5,29.2,19.3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,,100%,100%,86%,,,100%,100%,100%,88%,,,100%,100%
F1LNF0,Protein Myh14 OS,MYH14,13.746,3,4,5,2,,,,,,,,,,,,,,,,,340,10.7,7.1,9.3,11.9,8.3,,25.1,260,5.9,4.7,15.5,12.2,11.3,,10.9,199.6,237.4,85.5,25.7,15.4,28.4,22.8,17.4,498,13.5,,7.5,30,10.4,14.9,7.8,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,86%,93%,,,86%,86%,100%,86%,,,88%,88%,100%,88%
P62703,"40S ribosomal protein S4, X isoform OS",RPS4X,13.744,21,5,8,5,,,,,,,,,,,,,,,,,96,8.1,7,6.3,8.9,7.7,9.3,17.4,82.4,5.4,4.2,10.7,8.4,6.7,7.3,4.8,1214.6,255.9,72.6,52.3,32.8,48.5,39.1,28.6,2970.6,30.2,72.3,21.2,60,27.8,30.9,21.4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
Q9R1Z0,Voltage-dependent anion-selective channel protein 3 OS,VDAC3,13.684,20,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.2,760,123,42,34.3,43,39,0.5,937.6,27.8,109.4,17,46.9,25.6,20.3,23.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
P41123,60S ribosomal protein L13 OS,RPL13,13.615,26,6,9,6,248.6,19.9,7.8,4.6,12.8,6.5,6.6,7.9,448.1,0.8,7.9,5.3,6.3,9.5,10.5,3.8,329.7,7,9.8,21,28,24.2,26.7,45.1,279.8,6.6,10.8,22.3,21.6,19.6,21.1,18.6,1519.8,145.2,13.4,66.1,32.7,44.7,43,32.1,3604.2,22.3,,22.9,50.6,29.3,40.4,19.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100%,100%,93%,100%,100%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%
D3ZWC5,Protein Bmp8b OS,BMP8B,13.519,15,3,5,3,53.2,1.8,6.4,4.2,7.9,,2.2,1.4,101.6,2.3,9.6,,1.9,3,2.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86%,,,86%,86%,,,,,88%,88%,,,,
C0JPT7,Filamin alpha OS,FLNA,13.485,2,5,6,4,96.6,63.5,36.5,35.2,21.5,21.9,11.8,32.4,160.6,29.1,18.5,6.8,12,15.3,20.4,23,92.9,4.1,3.8,8.4,6.3,6.9,,11.9,63.7,6.1,3.9,6.4,5.7,4.1,5.4,3.6,668.6,638.2,146.7,54.4,24.6,69.5,43.4,7.9,1317.3,21.5,25.5,17.5,44.8,21.4,19.9,21.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%
Q99NA5,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS",IDH3A,13.42,13,4,8,4,244.3,10.7,9.1,10.7,11.5,11.7,4.1,3.2,482.6,5.7,8.5,,4.7,7.3,8.1,,,,,,,,,,,,,,,,,,1095.1,62,3.7,50.1,19.9,42.8,27.2,42.7,1637,13.2,2.4,24.2,43.8,27.1,25.1,24.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,86%,,100%,100%,71%,,,100%,100%,100%,75%,,,100%,100%
Q66H12,Alpha-N-acetylgalactosaminidase OS,NAGA,13.353,9,3,7,3,,,,,,,,,,,,,,,,,321.1,13.2,7.7,8.6,10.2,11,,10.4,236.5,9.6,9.1,14,14.1,16.8,0.4,9.4,362.3,69.3,66.8,68.3,49.6,64.3,64.1,49.9,678.8,32.4,17.9,50,72.7,52.2,53.8,45.4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,93%,100%,,,86%,100%,100%,100%,,,88%,100%,100%,100%
P97852,Peroxisomal multifunctional enzyme type 2 OS,HSD17B4,13.321,5,3,6,3,371.3,33.7,26.3,29.1,24.2,25.5,19.7,23.7,675,17.6,17.7,9.7,16.2,18.4,24,3.5,110.6,7.7,3.8,5.9,17.1,8.5,5.7,24.3,102.7,4.5,6.4,13.1,5.5,9.6,4.1,11.6,105.9,159,35.5,76.7,50.7,64.1,47.9,43.2,181.1,32.9,43.1,40.3,63,40,46.5,43.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V828,Protein Cnpy3 OS,CNPY3,13.263,19,5,5,5,507,34.2,52.5,52,43.4,30,21.8,61.8,1411.2,20.9,58.9,22.1,26.4,29.3,38.1,8.1,169.9,14,28.2,25,34,39.1,24.1,26.6,149.9,3.8,16.7,38.1,25.1,30.8,26.6,19.8,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,100%,100%,,100%,100%,100%,100%,,,100%,100%,100%,100%,,
Q8CFN2,Cell division control protein 42 homolog OS,CDC42,13.209,20,3,8,3,546.8,12.6,20.3,20.3,30.8,16.6,13.8,10.8,1185.8,2.2,15.6,22.8,9.8,7.7,15.3,,95.9,17,11.4,13.3,14.6,16.7,18.1,20.6,93.5,6.5,8.3,15.3,15.6,15.5,12.6,8.6,421.5,115.5,1093.5,17.1,3.5,34.4,19.6,3,736.1,10,4.8,2.1,21.2,9.9,7.9,11.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%,100%
Q7M0E3,Destrin OS,DSTN,13.182,21,3,8,2,,,,,,,,,,,,,,,,,247.5,11.6,7,9,13.3,5.1,,50,210.4,7,7.6,14.4,11.2,10.8,3.4,6.7,439.7,360,43.9,36.7,16.9,25.5,24.5,12.7,736.5,11.6,15.4,7.5,32.2,12.9,15.2,11.3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,93%,100%,,,86%,100%,100%,100%,,,88%,100%,100%,100%
M0R9Q9,Cytosol aminopeptidase (Fragment) OS,LAP3,13.048,8,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.3,101.3,19.9,20.6,14,20.7,12.6,15.1,324.7,10.3,5,10.5,18.6,9,10.5,11.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q5RJR8,Leucine-rich repeat-containing protein 59 OS,LRRC59,12.921,16,4,8,4,448.1,34.7,22.9,35,28.4,31.2,18.8,24,1079.7,19.7,38.5,11.5,26.9,19.4,34.3,10.8,,,,,,,,,,,,,,,,,389.5,75.6,84.7,50.3,24.1,49.8,29.7,27.9,705.7,15.5,25.4,31.4,46.7,33.5,27.7,21.5,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
Q641X3,Beta-hexosaminidase subunit alpha OS,HEXA,12.9,12,5,7,5,119.5,5.3,6.5,8.6,8.3,4.1,1.7,2.8,298.5,5.5,5,1.2,4.6,15.8,5.4,,,,,,,,,,,,,,,,,,429.1,374.8,175.2,437.3,325.4,391.1,326.7,252.1,1181,189.8,231.8,300.3,333.6,242.8,285.1,280.7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,,100%,100%,86%,,,100%,100%,100%,88%,,,100%,100%
A0JPQ9,Chitinase domain-containing protein 1 OS,CHID1,12.813,9,3,5,3,273.9,18.1,28.4,37.8,34.1,19.5,15.7,24.8,712.8,18,41.8,13.6,20.2,17.5,27.7,15.6,229.3,6.9,12.8,20.1,19.2,16,5.6,16.9,184.6,3.1,10.1,27.7,26.7,20.4,11.1,5.9,117.9,59.4,35.4,29.4,21.3,20.9,24,15.6,286.1,15.5,13.4,11.3,22.8,20.2,29.8,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q63769,Sushi repeat-containing protein SRPX OS,SRPX,12.786,8,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.1,14,11.7,14.7,5.1,13.4,9.8,9.5,372.7,2.6,,8.6,11,4.3,6.6,6.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,93%,,,,,100%,86%,,,,,100%,88%
P21775,"3-ketoacyl-CoA thiolase A, peroxisomal OS",ACAA1A,12.755,11,3,4,3,127.6,5.9,4.6,5.7,7.9,4.3,3.1,11,235.3,4.2,4.7,,4.2,3.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86%,,,100%,71%,,,,,100%,75%,,,,
P15651,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS",ACADS,12.645,14,4,4,4,119.3,3.1,5.4,7.2,11.5,9.7,4,7.4,212.7,3.3,5.6,2.5,8.1,23.5,6,2,,,,,,,,,,,,,,,,,227,19.7,26.8,30.8,20.7,17.9,18.1,12.4,839,9.4,76.5,12.2,14.8,16.8,27.4,10.1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
Q6IN22,Cathepsin B OS,CTSB,12.537,15,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8,5.7,8.8,10.4,7.4,7.5,7.2,8.6,168.4,3,10.8,5.4,15.9,7.7,10.3,2.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q5U302,"Catenin (Cadherin associated protein), alpha 1 OS",CTNNA1,12.501,9,7,7,7,25.1,9.5,6.1,7.7,10.2,12.3,1.3,9.1,55.2,3.1,7.2,3.7,7.1,6.7,5.6,3.2,61.6,3.7,7.8,5,6.8,9.8,8,9.3,57.8,2.3,6,8.2,8,6.4,6.2,7.6,133.3,63.5,103.4,57.8,30.2,48,40.7,31.6,284.4,24.4,48.6,26.6,46.3,18.8,24,26.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
B5DEH2,Erlin-2 OS,ERLIN2,12.457,16,5,9,4,282.7,22.9,16.3,21.9,30.4,15.8,20,24.8,602.6,13.2,23,8.2,16.9,12,19.1,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,,,100%,100%,,,,,100%,100%,,,,
