Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F3: 130N, Sample, A, (-)BiotinPD","Abundance: F3: 129C, Sample, A, (-)Hpg","Abundance: F3: 126, Sample, A, 0_0Hr","Abundance: F3: 127N, Sample, A, 0_5Hr","Abundance: F3: 127C, Sample, A, 1_0Hr","Abundance: F3: 128N, Sample, A, 1_5Hr","Abundance: F3: 128C, Sample, A, 2_0Hr","Abundance: F3: 129N, Sample, A, 3_0Hr","Abundance: F3: 134N, Sample, B, (-)BiotinPD","Abundance: F3: 133C, Sample, B, (-)Hpg","Abundance: F3: 130C, Sample, B, 0_0Hr","Abundance: F3: 131N, Sample, B, 0_5Hr","Abundance: F3: 131C, Sample, B, 1_0Hr","Abundance: F3: 132N, Sample, B, 1_5Hr","Abundance: F3: 132C, Sample, B, 2_0Hr","Abundance: F3: 133N, Sample, B, 3_0Hr","Abundance: F4: 133C, Sample, C, (-)BiotinPD","Abundance: F4: 126, Sample, C, (-)Hpg","Abundance: F4: 127C, Sample, C, 0_0Hr","Abundance: F4: 128C, Sample, C, 0_5Hr","Abundance: F4: 129C, Sample, C, 1_0Hr","Abundance: F4: 130C, Sample, C, 1_5Hr","Abundance: F4: 131C, Sample, C, 2_0Hr","Abundance: F4: 132C, Sample, C, 3_0Hr","Abundance: F4: 134N, Sample, D, (-)BiotinPD","Abundance: F4: 127N, Sample, D, (-)Hpg","Abundance: F4: 128N, Sample, D, 0_0Hr","Abundance: F4: 129N, Sample, D, 0_5Hr","Abundance: F4: 130N, Sample, D, 1_0Hr","Abundance: F4: 131N, Sample, D, 1_5Hr","Abundance: F4: 132N, Sample, D, 2_0Hr","Abundance: F4: 133N, Sample, D, 3_0Hr","Abundance: F9: 126, Sample, E, (-)BiotinPD","Abundance: F9: 130N, Sample, E, (-)Hpg","Abundance: F9: 129C, Sample, E, 0_0Hr","Abundance: F9: 129N, Sample, E, 0_5Hr","Abundance: F9: 128C, Sample, E, 1_0Hr","Abundance: F9: 128N, Sample, E, 1_5Hr","Abundance: F9: 127C, Sample, E, 2_0Hr","Abundance: F9: 127N, Sample, E, 3_0Hr","Abundance: F9: 134N, Sample, F, (-)BiotinPD","Abundance: F9: 130C, Sample, F, (-)Hpg","Abundance: F9: 131N, Sample, F, 0_0Hr","Abundance: F9: 131C, Sample, F, 0_5Hr","Abundance: F9: 132N, Sample, F, 1_0Hr","Abundance: F9: 132C, Sample, F, 1_5Hr","Abundance: F9: 133N, Sample, F, 2_0Hr","Abundance: F9: 133C, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
P35565,Calnexin OS,CANX,33.81,16,9,19,9,627.1,8.9,34.8,45.1,42.9,35.1,32.5,33.6,489.6,5.7,29.4,1.4,10.5,26.3,20.5,6.8,308.3,15.2,91.1,103.3,81.8,49.3,74.3,85.6,2004.7,11.9,171.8,106.5,124,195.4,117.1,70.2,3276.8,56.5,134.8,134.4,163.2,113.9,65.6,111.6,1700.5,77.9,97.9,100.3,90.5,103.6,101.9,96,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q6AXW2,Protein Tmod3 OS,TMOD3,33.508,48,13,19,13,284.9,5.1,16.7,42.7,14.7,18.2,15.4,28.9,316.7,7.9,14.9,6.6,14.4,19.8,11,6.7,37.6,,4.3,4.5,6.3,5.3,5.5,3.1,166.1,2.4,6.3,3.3,5.2,7.7,3.6,4.3,588.8,24.3,31.3,40.1,41.9,30.2,17.4,25.9,258.5,25.2,32.1,36.4,25.7,32,20.5,43.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%,100%
Q5XIH7,Prohibitin-2 OS,PHB2,33.357,31,8,13,8,300.9,16.2,22.8,44.2,23.8,17.8,21.1,38.5,264,15.5,14.5,15.4,28.7,23.1,29.2,19.1,191.3,25.9,37.9,28.1,42.2,15.6,36.2,33.5,1178.2,20.5,48,28.6,41.7,43.2,39.7,28.9,1234,45.8,51.5,54.7,72.5,46.4,18.9,55.9,1094.4,44.4,52.6,56.3,35,51.6,22.3,77.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P12785,Fatty acid synthase OS,FASN,33.146,5,9,13,9,275.9,15.4,17.3,14.3,14.4,16.7,14.4,12.1,275.8,10.4,18.1,7.5,13.9,20.9,13,5.4,1176.1,12.6,11.7,16.1,12.2,14.7,43.3,1.1,1363.8,10.5,29.6,15.9,22.5,31.7,21.8,2.8,160.8,3.6,8,2.8,7.2,6.3,,5.5,97.1,8.3,10.2,21.1,7,9.5,3.1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100%,100%,93%,100%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%
D4ACN7,Protein Myof OS,MYOF,32.907,6,10,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817.9,75.4,107.7,145,148.7,96.7,67.6,114.9,2062.8,87.9,96.4,111.6,89.1,103.5,72.3,138.8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
P18420,Proteasome subunit alpha type-1 OS,PSMA1,32.638,38,8,14,8,2430.7,60,67.3,120.5,59.4,61,64.3,97,2800.5,41.3,63.9,40.9,57,56.5,56.1,22.6,329.7,,,2.7,2,3.3,4,4.7,373.7,2.7,6.3,1.8,3.5,5.8,3.7,0.5,987.6,16.5,46,25.6,41.7,22.8,26,30.9,319.3,20.7,28.9,69.6,22.9,29,9.9,44.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,75%,100%,100%,100%
P24368,Peptidyl-prolyl cis-trans isomerase B OS,PPIB,32.426,35,8,39,8,2149.5,34.6,116.7,169.1,154.9,155.4,146.4,100.4,1784.5,36.4,101.5,55.1,94.6,114.9,93.3,37.7,1262.9,24.1,311.9,258.1,317,162.4,280.7,284.8,4670.6,38.8,352.8,245.2,310.9,458.1,334.1,127,7660.3,174.5,373.5,362.2,455.2,370.4,371.7,265.3,2733,171.5,261.1,272.3,210.5,248.5,163.7,274.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P45592,Cofilin-1 OS,CFL1,32.364,37,5,14,4,93.9,,6.3,10.6,4.2,3.3,7.3,7.6,107.3,2.3,5.3,,2.9,3.8,4.4,,156,5.4,9.7,10.6,7.3,6.2,13.8,8.5,314.3,10.2,10,9.6,10.2,12.6,15.7,17.3,693.1,14.3,27.5,33,29,20,19.9,20.6,493.5,13.2,22,20.9,17.3,16.7,9.3,21.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,86%,100%,100%,100%,71%,100%,100%,100%,100%,88%,75%,100%,100%,100%,100%
P62260,14-3-3 protein epsilon OS,YWHAE,32.297,34,8,31,6,637.2,14.6,20.8,35.9,16.5,12.9,21.1,41.2,648.3,14.3,25.9,2,18,14.8,16.3,25.6,658,21.8,28.8,36.4,32.9,32.8,51.3,14.3,1226,11.6,23.7,30.8,37.4,63.6,34.5,8.6,2960,120.9,129.8,156.5,157.2,122.6,185.1,128.2,1832.2,269.4,164.1,278.8,134.2,120.6,76.9,173.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V6P7,"Myosin, heavy polypeptide 9, non-muscle OS",LOC100911597,32.128,6,10,16,7,802.6,63.6,73.5,207.5,68.1,46.6,63,282.3,1023.5,53.3,78.1,40.1,86.7,79.8,52.3,46.4,,,,,,,,,,,,,,,,,2165.6,216.5,224.9,235.6,241.5,182.8,178.2,186.6,1307.8,252.6,220.5,386,167.1,168.9,165.5,279.2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
G3V6S3,Calumenin OS,CALU,31.673,29,8,11,8,,,,,,,,,,,,,,,,,15.8,4.6,8.2,2.4,6.4,4.4,9.6,3.2,59.5,,5.3,6.2,9.3,10.6,8.6,7.5,379.7,25.7,42.7,44,38.3,38.3,28.7,26.2,109.7,25.7,33.6,39.7,21.9,34.5,32.1,36.9,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,88%,100%,100%
Q5XIM9,T-complex protein 1 subunit beta OS,CCT2,31.542,17,7,20,7,,,,,,,,,,,,,,,,,154.1,4.3,3.3,2.3,5.4,3.9,8.2,2,232.1,3.2,6.5,5.3,5.9,9.2,4.6,0.7,498.9,28.4,29,35,36.5,27.1,18.7,26.3,311.8,50.7,41.1,78,28.5,33.5,32.7,54.6,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P16638,ATP-citrate synthase OS,ACLY,31.485,9,8,17,8,464.5,3.7,6.8,11.5,6.6,5.9,6.7,4.5,506,3.4,,,7.5,6.6,5.7,,1399.8,45.3,54.3,75.4,64.2,75.1,123.3,50.1,2929.2,41.4,52.7,78.9,66.4,129.7,88.5,18.1,288.5,16.7,16.6,12.3,18,16.8,4.6,18,187.7,15.1,16.3,22.1,11.3,15.4,6.2,19.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,79%,100%,100%,100%,57%,100%,100%,100%,100%,100%,63%,100%,100%,100%,100%
P54001,Prolyl 4-hydroxylase subunit alpha-1 OS,P4HA1,31.163,16,7,10,7,56.9,7,8.4,6.4,6.1,7.8,9.7,7.7,40,2.9,8,6,8.7,3.7,6,6.3,282.5,7.8,43.4,31.7,41.3,28.6,40.7,33.8,961,7.7,66.5,45,54.7,91.4,61.8,14.7,432.5,25.4,37.8,45.3,56.6,49.5,41.5,34.3,234.7,34.9,34.3,42.3,45,45.8,30.2,54.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P62804,Histone H4 OS,HIST1H4B,30.59,40,5,53,5,7546.8,47.3,57.2,80.4,60.1,36.5,46.3,79.8,7539.5,27,24.4,3.5,56.1,47,48.6,14.5,2983.1,6.2,22.6,19.2,15.2,9.3,11.7,1.7,7010.2,8.8,46.9,16.6,12.3,20.9,7.1,,5269.5,128.4,147.8,131.6,142.8,131.5,74.6,109.7,6452.9,172.4,124.5,183,112.9,138.5,78.7,182.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%
Q80ZA3,Alpha-2 antiplasmin OS,SERPINF1,29.907,13,5,24,5,553.6,29.4,29.1,33.3,30,29.9,33.7,23.9,630.2,19,29.5,20.3,25.1,31.9,27.8,14.1,1527.7,149.2,143.7,112.4,124.4,150.7,158.1,148.7,1791.4,92.7,189.2,189.6,179.6,155.2,158.3,124,472.2,157,148.8,151,235.3,190.2,273.1,202.9,233.1,182.3,167.6,171,187.7,211.3,144.2,221.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q9R0T3,DnaJ homolog subfamily C member 3 OS,DNAJC3,29.594,24,7,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.3,34.9,55.4,47.3,59.5,48.8,31,41.3,337.5,32.8,34.5,45.6,29.5,35.6,36.1,37.9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
P61751,ADP-ribosylation factor 4 OS,ARF4,29.482,38,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
G3V7Q7,"IQ motif containing GTPase activating protein 1 (Predicted), isoform CRA_b OS",IQGAP1,29.366,5,5,9,5,70,5.5,4.4,8,4.2,6.9,8.2,13.4,66.3,4.9,7.9,3,4.8,6.3,4.4,6.4,,,,,,,,,,,,,,,,,346.8,17.3,21.7,21.1,20.3,13,4.6,18.4,227,13.8,23.3,24,10.3,18.2,16.2,23.5,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
P38983,40S ribosomal protein SA OS,RPSA,28.881,23,6,17,6,3482.8,29.7,38.2,126.2,49.8,42.1,53.8,22.4,4125.2,28,17.6,3,53.7,43.3,33.7,6.5,1016.5,35.5,46.5,33.2,44.8,36.2,37.4,19.2,1136.1,23.5,48.8,36.4,32.4,37.4,32.8,17,1627.5,213.9,171.9,140.4,181.4,133.7,172.6,159.9,921.1,186.8,160,207.3,174.3,159.3,165.2,220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
D3ZZC1,Protein Txndc5 OS,TXNDC5,28.72,28,9,17,9,,,,,,,,,,,,,,,,,96.9,43,67.3,55.8,48.9,34.8,50.6,52.9,441.9,38.7,59.1,70.4,41,70.8,70.6,63.6,3139.1,70.2,184.9,209.6,246.8,196.6,109.5,138.5,1364.9,68,135.1,181,103.8,132.3,120.3,153.3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P63102,14-3-3 protein zeta/delta OS,YWHAZ,28.457,37,7,13,4,216.4,6.5,16.2,126.8,14.8,21.6,9.1,138.3,181.2,5,11.1,12.9,22.7,13.4,12.7,10.8,31.9,,5.9,7.2,5.5,3.8,4.1,5.1,110.1,3.2,5.2,3.4,4.7,8.2,9.5,5.1,428.4,31.3,34.4,49.8,42.3,38.8,45,35.6,273.1,71.4,67,138.6,37.7,42,35.9,46.1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88%,100%,100%,100%
Q5XIB4,Ufm1-specific protease 2 OS,UFSP2,27.875,16,6,19,6,,,,,,,,,,,,,,,,,107.8,5.7,11.6,11.7,12,10.1,11.4,13.4,399.9,3.3,16.8,18.3,18.5,19.9,18.8,10.9,556.2,72,78.6,66.5,94.4,67.3,75,76.7,370.3,65.1,71.3,74.8,66.5,71.1,58.5,89.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P15865,Histone H1.4 OS,HIST1H1E,27.774,26,6,17,6,2866.9,21.9,37.7,35.1,27.4,25.7,45.8,10.9,5462.8,8.7,11.2,5.8,29.7,29.5,29.5,,3468.6,56.8,80.7,96.1,70.9,77.3,120.3,61.2,5031.9,37.1,113.5,75.6,95.9,179.6,128.6,21,1066.7,51.5,45.2,45.4,38.8,35.7,22.7,32.1,877.3,36,48.1,79.6,38.1,44.1,23,47.7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%,100%
F7F9U6,Plectin OS,PLEC,27.528,3,8,10,8,337.4,3,3.7,3.4,3.2,3.1,3.3,,344.5,3,,,4.3,1.1,2.6,,,,,,,,,,,,,,,,,,259,38.8,42.4,34.3,47.5,50.1,43.5,37.3,130.1,43.6,43.2,67,42.8,49.9,29,59.6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,71%,,100%,86%,57%,,,100%,100%,88%,63%,,,100%,100%
O08628,Procollagen C-endopeptidase enhancer 1 OS,PCOLCE,27.255,14,5,13,5,1283,51.2,56.3,78.4,61.2,59.3,41.5,64.4,1330.3,44.1,47.8,47.1,57,53.7,46.1,29.3,1328,9.7,17.6,21.9,16.5,26.9,38.1,22.2,2127.5,12.7,28.4,26.7,22.7,36.8,28.1,3.1,705,28.2,30.8,29.6,32.1,23.3,7.4,28.6,350,22.8,27.7,30.1,30.4,26,26,33.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P06685,Sodium/potassium-transporting ATPase subunit alpha-1 OS,ATP1A1,27.077,11,8,20,8,,,,,,,,,,,,,,,,,54.7,6,19.5,20.2,20.3,7.8,20.9,20.5,519.9,14.5,25,25.8,28.6,48.5,34.6,15.3,755.5,78,77.5,90.2,108.8,73.2,104.5,102.2,709,99.1,91.8,175.7,90.7,96.2,84,108.3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,100%,100%,,,100%,100%,100%,100%,,,100%,100%,100%,100%
P09527,Ras-related protein Rab-7a OS,RAB7A,27.029,36,6,10,6,548.6,19.3,27.5,52.9,43.9,27.4,41.5,49.2,561.4,15.4,36,4.1,27.5,36.3,27.3,10.3,235.5,132.6,148.4,93.4,112.4,97.9,136.2,133.7,597.1,72.9,137.6,115.4,113.5,117.1,110.2,99.3,434.5,63.4,53.2,74.3,74.8,65.2,63.9,63.7,313.8,63.6,56.9,54.6,64.6,56.8,52.3,75.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
M0R9D5,Uncharacterized protein OS,AHNAK,26.622,10,8,18,8,224.3,21.5,21.2,31.7,25.1,29.4,22.1,23.9,255.7,18.2,16.9,15.3,15.6,25.8,18.5,21.8,,,,,,,,,,,,,,,,,1924.9,159.1,171.4,159.9,195.5,147.5,144.3,150.1,1328,149,156.2,191,162,176.1,159.9,201.7,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
O35509,Ras-related protein Rab-11B OS,RAB11B,26.557,34,7,16,6,139.8,1.9,3.2,6.9,3.3,1.2,3.4,3.9,133.5,,4.1,,2.6,,,0.2,718.4,22.8,41.8,44.9,38.6,32,37.9,55.5,2127.4,21.8,45.9,49,39.2,55.6,50,119.6,1184.4,30.9,30.9,31.3,43.7,26.5,9,28.5,749.7,34.1,27.3,33.1,22.7,26.7,18.4,37.6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,79%,100%,100%,100%,57%,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%
P62986,Ubiquitin-60S ribosomal protein L40 OS,UBA52,26.194,34,4,30,4,928.2,130.2,139.6,273.1,140.1,111.1,106.7,527.3,965.8,99.6,146.2,84.1,104.5,133.6,103.2,119,376,64.1,101.7,126.4,106.7,46.8,67.9,92.4,853.2,80.4,114.5,62,106.8,120.9,123.5,180.9,1770.8,136.5,266.1,235.4,253.9,162.6,193.4,235.4,1211.7,409,248,542,225.3,206.3,151.3,324.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q9QUL6,Vesicle-fusing ATPase OS,NSF,25.995,14,10,13,10,1010.2,19.1,20.3,34.9,19.4,15.6,22.4,29.2,1068.8,14.5,21.5,,17.7,26.8,13.4,,159,7,8.6,9,5.4,4.8,7.8,11.2,227.3,4.5,4,9.6,4.1,6.7,11.6,2.5,1390.5,22.9,38.7,32.5,28.5,31.5,17.4,31.2,851.9,23.8,28.9,43.5,27.6,28.9,18.4,36.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,86%,100%,100%,100%,71%,100%,100%,100%,100%,100%,75%,100%,100%,100%,100%
O35142,Coatomer subunit beta' OS,COPB2,25.438,10,7,8,7,530,10,9.6,19.3,10.2,13.2,11.1,13.6,571.5,10.9,11.9,2.2,14.1,13.6,11.3,10.4,,,,,,,,,,,,,,,,,218.8,23,21.7,19,19.6,23.9,24.6,28.7,118.4,20.1,21,24.3,20.9,18.8,24.2,29.2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,,100%,100%,100%,,,100%,100%,100%,100%,,,100%,100%
P04906,Glutathione S-transferase P OS,GSTP1,25.37,23,4,10,4,365.7,34.8,27.3,42.6,30.3,33.5,24.3,34.1,424.9,19.7,42.4,21.9,26.5,38.7,25.9,16.1,230,,,1.8,4.3,2,2.4,,298.4,,3.6,2.5,,2.8,,,1049.5,331.9,183.7,135.9,172.8,138.7,203.6,160.5,732.9,176.8,112.4,133.1,172.1,120.2,141.2,230.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,64%,100%,100%,100%,71%,57%,100%,100%,100%,100%,63%,50%,100%,100%
P15429,Beta-enolase OS,ENO3,25.209,16,5,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.1,8.3,12.9,11.2,19.4,12.5,,11.8,177.9,7.6,14.8,16.6,7,10,18.3,14,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,93%,,,,,86%,100%,,,,,88%,100%
P54313,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS,GNB2,24.679,21,6,13,2,45.1,5.1,3.5,6.9,7.1,12.5,9.3,8,49.2,2.4,10.5,6.8,6.4,5.4,8.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,100%,,,100%,100%,,,,,100%,100%,,,,
P19945,60S acidic ribosomal protein P0 OS,RPLP0,24.346,23,5,24,5,139.8,4.9,3.6,5.8,6.4,2.3,4.8,9.6,158.1,1.5,5.1,,4.4,2.7,6,6.5,,,,,,,,,,,,,,,,,1457.6,27,37.9,28.3,39.9,35.4,56.7,40.8,805.4,36.6,34,62.1,25.7,38.6,22.1,42.5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,,100%,100%,86%,,,100%,100%,100%,88%,,,100%,100%
P17220,Proteasome subunit alpha type-2 OS,PSMA2,24.181,22,3,11,3,260.5,3.6,7.8,5.3,8.3,3.7,5.2,7.7,278,2.8,7.5,,4.8,5.6,7.9,3.9,,,,,,,,,,,,,,,,,886.7,24.8,43.8,26.9,32.8,24.7,29.5,20.8,512.1,44.2,30.7,41.4,28.9,29.7,18.6,41.2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,93%,,100%,100%,86%,,,100%,100%,100%,88%,,,100%,100%
Q5XHZ0,"Heat shock protein 75 kDa, mitochondrial OS",TRAP1,23.993,6,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.9,8.6,15.8,16.7,16.1,13.9,17.7,11,215.7,12,15.3,17.2,12.7,13.2,13.8,15.7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q6P3V8,Eukaryotic translation initiation factor 4A1 OS,EIF4A1,23.991,13,6,17,5,671.9,21.9,20.6,34.8,26.7,27.3,38.3,114.9,657.5,27.9,64.7,19.9,37.9,24.9,19.2,18.4,745.9,5.6,16.4,12.5,12.1,14.4,19.6,3.8,1008.3,3.8,15.8,6.6,14.3,28.3,18.9,4.9,2961.7,54.3,62.8,85.3,74.2,57.5,,57.6,1545.7,102.7,64.7,161.8,57.7,61.8,25.5,100.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100%,100%,93%,100%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%
E9PSX6,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS,ATP2A2,23.828,10,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.4,16.3,51.4,52.2,38.6,33.2,34.7,30.1,558.6,31.6,34.7,41,22.4,24.1,11.1,96.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q6P7A9,Lysosomal alpha-glucosidase OS,GAA,23.222,7,5,14,5,1654.5,6.8,20.4,21.3,26.1,11.8,18.6,8.8,1854,10.7,,22.5,20.9,6.9,20.4,,1643.3,19.6,22.4,37.1,22.6,27.3,28.8,10.1,2270.9,13,25.9,22.9,19,40.4,24.6,2.1,1083.2,57.3,110.6,69.1,58.9,63.2,52.4,62.5,730.5,48.9,56.1,83.7,76.4,54.2,54.2,87.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,86%,100%,100%,100%,71%,100%,100%,100%,100%,100%,75%,100%,100%,100%,100%
D4ACV3,Histone H2A OS,HIST2H2AC,23.167,35,3,6,2,,,,,,,,,,,,,,,,,233,4.8,7.9,7.2,8.7,5.2,11.8,,401.3,,11.4,5.1,9.4,12,8.4,0.3,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,93%,,,,86%,100%,,,,,88%,88%,,
P30835,"6-phosphofructokinase, liver type OS",PFKL,22.883,11,7,10,5,,,,,,,,,,,,,,,,,106.3,,,,,,,,114.6,,2.8,1.8,,,,,2071.8,41.8,82.5,72.8,73.7,48.3,60.9,165.2,1228.9,57,71.7,100.3,59.1,73.1,30.1,107.3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,29%,100%,,,14%,43%,100%,100%,,,13%,38%,100%,100%
Q6IMY8,Heterogeneous nuclear ribonucleoprotein U OS,HNRNPU,22.798,13,9,21,9,307.2,12.9,15.3,10.5,16.1,16.6,20.7,24.5,402.4,10,23,4.2,15,13.8,9.4,5.4,1906,41.4,65.2,77.8,58.7,56.4,68.8,56,3535.9,41.6,119.9,92.6,110.2,146.1,105.1,15.6,4779.4,98.4,161.5,180.3,220.2,161.9,13.8,154.5,3116.2,124,143.1,250.5,123.1,149.1,92.3,175.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
